Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
1,84810,11,3,107.1,8.5,uniform,28,74,9.34,9.41,9.41,346.99,12.44,100.0,10.81,11.17,11.17,407.14,14.24,100.0,9.83,9.83,9.83,366.38,0.01,100.0,15.76,15.76,QPSO,4.3,4.3,QPSO
2,12395,19,7,71.6,8.5,uniform,41,78,16.64,17.79,17.79,756.74,27.9,100.0,17.76,18.08,18.08,781.72,25.85,100.0,18.96,18.96,18.96,814.56,0.01,100.0,1.63,1.63,QPSO,6.18,6.18,QPSO
3,4478,18,5,105.8,8.5,rush_hour,43,57,28.43,30.81,31.94,755.31,15.35,66.7,27.16,29.17,29.17,744.4,13.54,100.0,73.67,73.67,26.04,644.27,0.01,0.0,-5.64,-9.51,Classical PSO,58.18,-22.67,QPSO
4,1851,12,4,87.0,8.5,rush_hour,28,45,17.3,17.39,17.39,401.65,9.32,100.0,19.43,20.32,20.32,460.09,8.51,100.0,18.38,18.38,18.38,419.55,0.0,100.0,14.4,14.4,QPSO,5.37,5.37,QPSO
5,50797,11,5,112.4,9.0,uniform,39,74,7.64,7.64,7.64,306.14,15.28,100.0,8.1,8.67,8.67,342.32,14.71,100.0,9.49,9.49,9.49,348.54,0.01,100.0,11.85,11.85,QPSO,19.51,19.51,QPSO
