Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
470,2219,14,5,103.1,17.5,incident,29,66,11.67,11.67,11.67,493.89,66.65,100.0,11.67,11.67,11.67,493.89,59.81,100.0,16.37,16.37,16.37,651.5,0.01,100.0,0.0,0.0,Tie,28.73,28.73,QPSO
471,14751,18,6,84.1,13.0,uniform,44,52,14.49,14.49,14.49,571.08,64.07,100.0,16.79,16.79,16.79,686.13,50.65,100.0,21.33,21.33,21.33,905.88,0.01,100.0,13.67,13.67,QPSO,32.05,32.05,QPSO
472,35471,18,6,87.9,9.0,uniform,26,75,13.62,13.62,13.62,589.91,77.21,100.0,16.67,16.67,16.67,725.06,54.51,100.0,18.05,18.05,18.05,790.31,0.02,100.0,18.33,18.33,QPSO,24.55,24.55,QPSO
473,66058,13,4,86.5,8.0,incident,27,47,12.97,12.97,12.97,587.28,55.23,100.0,13.77,13.77,13.77,598.29,58.72,100.0,14.97,14.97,14.97,662.32,0.01,100.0,5.81,5.81,QPSO,13.35,13.35,QPSO
474,76255,20,7,77.5,17.5,uniform,28,56,18.99,18.99,18.99,690.73,80.52,100.0,20.33,20.33,20.33,727.32,55.15,100.0,21.26,21.26,21.26,776.3,0.01,100.0,6.57,6.57,QPSO,10.67,10.67,QPSO
475,85454,13,4,119.4,9.0,rush_hour,26,46,18.04,18.04,18.04,500.15,60.61,100.0,16.31,16.31,16.31,476.79,39.93,100.0,21.09,21.09,21.09,612.67,0.01,100.0,-10.57,-10.57,Classical PSO,14.5,14.5,QPSO
476,23898,10,5,88.0,9.0,rush_hour,28,46,14.75,14.75,14.75,344.69,40.58,100.0,15.42,15.42,15.42,385.63,39.74,100.0,16.7,16.7,16.7,363.81,0.01,100.0,4.33,4.33,QPSO,11.69,11.69,QPSO
477,7014,10,3,103.2,9.0,rush_hour,39,79,11.91,11.91,11.91,292.2,96.05,100.0,11.91,11.91,11.91,292.2,64.28,100.0,18.34,18.34,18.34,496.01,0.0,100.0,-0.0,0.0,Tie,35.08,35.08,QPSO
478,36167,11,3,110.7,8.0,rush_hour,37,69,15.43,15.43,15.43,380.07,85.56,100.0,15.81,15.81,15.81,423.39,57.34,100.0,20.1,20.1,20.1,527.99,0.01,100.0,2.41,2.41,QPSO,23.24,23.24,QPSO
479,36629,16,4,110.0,8.0,uniform,26,50,14.97,14.97,14.97,641.97,73.77,100.0,15.4,15.4,15.4,645.68,46.04,100.0,18.58,18.58,18.58,800.8,0.01,100.0,2.76,2.76,QPSO,19.4,19.4,QPSO
