Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
14637,98843,14,5,82.1,13.0,uniform,34,78,13.82,13.82,13.82,573.21,129.25,100.0,14.07,14.07,14.07,592.3,79.52,100.0,14.99,14.99,14.99,626.99,0.01,100.0,1.73,1.73,QPSO,7.81,7.81,QPSO
14638,39361,13,5,77.7,8.5,uniform,45,60,8.71,8.71,8.71,386.47,22.42,100.0,9.64,9.64,9.64,437.35,69.3,100.0,8.85,8.85,8.85,397.95,0.03,100.0,9.62,9.62,QPSO,1.59,1.59,QPSO
14639,54094,11,3,115.0,13.0,uniform,40,68,10.57,10.57,10.57,418.65,78.32,100.0,10.57,10.57,10.57,418.65,60.77,100.0,12.49,12.49,12.49,525.09,0.0,100.0,0.0,0.0,Tie,15.38,15.38,QPSO
14640,28606,18,4,114.2,18.0,rush_hour,33,41,14.85,14.85,14.85,599.82,29.86,100.0,18.66,18.66,18.66,753.8,88.35,100.0,15.27,15.27,15.27,633.94,0.01,100.0,20.44,20.44,QPSO,2.79,2.79,QPSO
14641,62169,16,5,119.0,17.5,uniform,32,79,11.55,11.55,11.55,450.99,70.44,100.0,13.66,13.66,13.66,544.37,77.23,100.0,15.85,15.85,12.64,497.67,0.01,0.0,15.46,15.46,QPSO,27.13,8.64,QPSO
14642,70173,15,5,78.3,8.0,uniform,25,51,10.85,10.85,10.85,533.97,137.96,100.0,12.29,12.29,12.29,564.69,110.86,100.0,12.41,12.41,12.41,623.42,0.01,100.0,11.72,11.72,QPSO,12.55,12.55,QPSO
14643,27699,14,5,84.3,8.5,rush_hour,31,63,24.77,24.77,24.77,603.38,103.67,100.0,29.54,29.54,29.54,654.58,118.2,100.0,27.6,27.6,27.6,651.55,0.01,100.0,16.15,16.15,QPSO,10.26,10.26,QPSO
14644,47222,20,6,88.1,9.0,incident,29,41,18.01,18.01,18.01,726.2,85.4,100.0,18.69,18.69,18.69,773.28,36.09,100.0,18.65,18.65,18.65,757.79,0.01,100.0,3.64,3.64,QPSO,3.45,3.45,QPSO
14645,30801,13,4,81.4,17.5,rush_hour,37,40,14.07,14.07,14.07,503.69,80.16,100.0,14.44,14.44,14.44,499.84,13.41,100.0,15.63,15.63,15.63,612.17,0.01,100.0,2.55,2.55,QPSO,9.95,9.95,QPSO
14646,77716,13,5,107.4,9.0,incident,41,58,12.0,12.0,12.0,496.29,24.26,100.0,12.98,12.98,12.98,541.31,149.35,100.0,213.11,213.11,13.11,543.75,0.01,0.0,7.49,7.49,QPSO,94.37,8.46,QPSO
14647,42982,17,5,99.0,9.0,incident,38,69,15.85,15.85,15.85,666.21,82.65,100.0,16.25,16.25,16.25,688.12,32.07,100.0,43.97,43.97,17.82,696.84,0.01,0.0,2.42,2.42,QPSO,63.94,11.03,QPSO
14648,87049,16,6,75.4,18.0,rush_hour,27,46,15.65,15.65,15.65,653.93,51.39,100.0,17.35,17.35,17.35,736.6,116.74,100.0,16.57,16.57,16.57,702.32,0.01,100.0,9.76,9.76,QPSO,5.53,5.53,QPSO
14649,72908,11,5,108.8,13.0,uniform,37,78,9.04,9.04,9.04,408.25,106.19,100.0,8.98,8.98,8.98,404.24,70.25,100.0,9.04,9.04,9.04,408.25,0.01,100.0,-0.73,-0.73,Classical PSO,0.0,0.0,Tie
14650,37807,15,5,88.0,17.5,uniform,29,58,14.27,14.27,14.93,659.15,118.34,0.0,15.9,15.9,15.9,681.57,161.03,100.0,69.24,69.24,19.92,833.75,0.01,0.0,10.24,6.13,QPSO,79.38,25.07,QPSO
14651,38075,13,5,78.1,18.0,incident,45,73,12.03,12.03,12.03,465.22,62.78,100.0,11.45,11.45,11.45,432.88,100.56,100.0,14.95,14.95,14.95,585.61,0.01,100.0,-5.12,-5.12,Classical PSO,19.51,19.51,QPSO
14652,64794,17,6,84.6,17.5,rush_hour,44,53,14.86,14.86,14.86,682.49,175.19,100.0,15.92,15.92,15.92,725.65,27.82,100.0,15.17,15.17,15.17,674.94,0.01,100.0,6.64,6.64,QPSO,2.03,2.03,QPSO
14653,39550,17,6,74.7,8.0,incident,33,49,20.12,20.12,20.12,891.74,24.38,100.0,20.89,20.89,20.89,927.44,72.79,100.0,23.08,23.08,23.08,1041.68,0.01,100.0,3.68,3.68,QPSO,12.83,12.83,QPSO
14654,15516,14,5,73.6,8.0,incident,40,53,12.72,12.72,12.72,493.65,114.93,100.0,13.54,13.54,13.54,490.05,197.02,100.0,12.72,12.72,12.72,493.65,0.01,100.0,6.07,6.07,QPSO,0.0,0.0,Tie
14655,43574,12,5,71.8,8.5,uniform,32,75,11.08,11.08,11.08,396.38,26.36,100.0,10.41,10.41,10.41,397.67,125.76,100.0,13.02,13.02,13.02,454.21,0.01,100.0,-6.41,-6.41,Classical PSO,14.86,14.86,QPSO
14656,87460,18,4,112.8,8.0,rush_hour,43,43,22.59,22.59,22.59,652.54,23.32,100.0,25.34,25.34,25.34,756.8,108.28,100.0,44.52,44.52,25.27,737.67,0.01,0.0,10.89,10.89,QPSO,49.27,10.61,QPSO
14657,11978,13,5,100.9,8.0,rush_hour,36,48,19.3,19.3,19.3,555.14,19.39,100.0,20.27,20.27,20.27,612.32,59.26,100.0,251.14,251.14,25.79,727.47,0.01,0.0,4.81,4.81,QPSO,92.32,25.17,QPSO
14658,3278,15,6,74.9,18.0,incident,34,45,17.36,17.36,17.36,739.79,36.46,100.0,15.82,15.82,15.82,671.36,114.93,100.0,20.63,20.63,20.63,894.67,0.01,100.0,-9.77,-9.77,Classical PSO,15.84,15.84,QPSO
14659,72379,15,5,101.0,9.0,rush_hour,34,64,23.63,23.63,23.63,762.64,59.81,100.0,23.3,23.3,23.3,727.83,71.05,100.0,111.72,111.72,24.54,796.48,0.01,0.0,-1.43,-1.43,Classical PSO,78.85,3.72,QPSO
14660,70101,14,5,82.4,13.0,rush_hour,25,79,12.83,12.83,12.83,630.86,75.4,100.0,13.15,13.15,13.15,602.2,38.24,100.0,13.72,13.72,13.72,634.44,0.01,100.0,2.4,2.4,QPSO,6.49,6.49,QPSO
14661,68826,17,6,72.9,17.5,incident,41,53,19.63,19.63,19.63,813.75,167.42,100.0,18.91,18.91,18.91,811.85,216.57,100.0,20.96,20.96,20.96,908.34,0.01,100.0,-3.83,-3.83,Classical PSO,6.34,6.34,QPSO
14662,18021,12,4,106.9,13.0,incident,39,49,10.26,10.26,11.19,464.51,30.58,0.0,11.19,11.19,11.19,450.14,20.0,100.0,57.74,57.74,12.3,530.2,0.01,0.0,8.35,0.06,QPSO,82.23,9.06,QPSO
